size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
124,4.75343e+06,5.9156e+06,4.98249e+06,4.71631e+06,6.0956e+06,4.65613e+06
125,4.57049e+06,5.9949e+06,4.73165e+06,4.73078e+06,6.18162e+06,4.88496e+06
126,4.78118e+06,6.08844e+06,4.79442e+06,4.91525e+06,6.33892e+06,4.96921e+06
127,4.89851e+06,6.30862e+06,4.96911e+06,4.91319e+06,6.53621e+06,6.42669e+06
128,5.15879e+06,6.45239e+06,5.67511e+06,5.82538e+06,6.70454e+06,5.63315e+06
129,5.47857e+06,6.57526e+06,5.11876e+06,5.22828e+06,6.8594e+06,5.40424e+06
130,5.14585e+06,6.71156e+06,5.12292e+06,5.14288e+06,7.00503e+06,5.40518e+06
131,5.5301e+06,6.90097e+06,5.47532e+06,5.32139e+06,7.12822e+06,5.79519e+06
132,5.73943e+06,6.99493e+06,5.78253e+06,5.63564e+06,7.26197e+06,5.55789e+06
133,5.61544e+06,7.22735e+06,5.7885e+06,5.91862e+06,7.58078e+06,5.96654e+06
134,5.89914e+06,7.43262e+06,5.77768e+06,5.88083e+06,7.7239e+06,5.92764e+06
135,5.93404e+06,7.54544e+06,5.92961e+06,6.03433e+06,7.80821e+06,6.31921e+06
136,6.1545e+06,7.73079e+06,6.15492e+06,6.24943e+06,7.98181e+06,6.06971e+06
137,6.21929e+06,7.93479e+06,6.41899e+06,6.33058e+06,8.15385e+06,6.51615e+06
138,6.24125e+06,8.00496e+06,6.35001e+06,6.4306e+06,8.35151e+06,6.53346e+06
139,6.41433e+06,8.19781e+06,6.51454e+06,6.60739e+06,8.44343e+06,6.83926e+06
140,6.53228e+06,8.29658e+06,6.73781e+06,7.54339e+06,8.81707e+06,7.02722e+06
141,7.00476e+06,8.83454e+06,7.21015e+06,6.72661e+06,9.08962e+06,7.34592e+06
142,6.76874e+06,8.87174e+06,6.82343e+06,7.25633e+06,9.33743e+06,7.21587e+06
143,6.98889e+06,9.1061e+06,7.20024e+06,7.35083e+06,9.48143e+06,7.63446e+06
144,7.41632e+06,9.35912e+06,7.2479e+06,7.38083e+06,9.78886e+06,7.47101e+06
145,7.60547e+06,9.42217e+06,7.37476e+06,7.61482e+06,9.93492e+06,7.87033e+06
146,7.79208e+06,9.63604e+06,7.81693e+06,7.61361e+06,1.01804e+07,7.94543e+06
147,7.6867e+06,9.90726e+06,7.94272e+06,7.91599e+06,1.02948e+07,8.32912e+06
148,8.05456e+06,9.99031e+06,7.99626e+06,7.90415e+06,1.04548e+07,7.99888e+06
149,7.94828e+06,1.02472e+07,8.26556e+06,7.88604e+06,1.06037e+07,8.47896e+06
150,8.24661e+06,1.0467e+07,8.22857e+06,8.09229e+06,1.08767e+07,8.49068e+06
151,8.51612e+06,1.11471e+07,8.85924e+06,8.5191e+06,1.60916e+07,8.99019e+06
152,8.79326e+06,1.06366e+07,8.60024e+06,9.00872e+06,1.15532e+07,8.68211e+06
153,8.77975e+06,1.10731e+07,8.80707e+06,8.76165e+06,1.19766e+07,9.28082e+06
154,9.02393e+06,1.13543e+07,9.15199e+06,9.15276e+06,1.20384e+07,9.30667e+06
155,8.80608e+06,1.15548e+07,9.24122e+06,9.37511e+06,1.21813e+07,9.72572e+06
156,9.32236e+06,1.16745e+07,9.10774e+06,9.31622e+06,1.20492e+07,9.23924e+06
157,9.38975e+06,1.18616e+07,9.47007e+06,1.07528e+07,1.24568e+07,9.81861e+06
158,1.00248e+07,1.38745e+07,9.78421e+06,9.57518e+06,1.29176e+07,9.94153e+06
159,9.2999e+06,1.25892e+07,9.63718e+06,9.70313e+06,1.32224e+07,1.02426e+07
160,9.7074e+06,1.26595e+07,9.86129e+06,9.82162e+06,1.31978e+07,1.02888e+07
161,9.72824e+06,1.26608e+07,1.03839e+07,1.02198e+07,1.30435e+07,1.07824e+07
162,9.89946e+06,1.30602e+07,1.01738e+07,1.13737e+07,1.3915e+07,1.03897e+07
163,1.0104e+07,1.32695e+07,1.08366e+07,1.0557e+07,1.38432e+07,1.0983e+07
164,1.08708e+07,1.35713e+07,1.16068e+07,1.07234e+07,1.41385e+07,1.07035e+07
165,1.08069e+07,1.36966e+07,1.11051e+07,1.07705e+07,1.44739e+07,1.15245e+07
166,1.10164e+07,1.40229e+07,1.13871e+07,1.13563e+07,1.48693e+07,1.18431e+07
167,1.13752e+07,1.43842e+07,1.14974e+07,1.15048e+07,1.50819e+07,1.19204e+07
168,1.13851e+07,1.44878e+07,1.13515e+07,1.18298e+07,1.51878e+07,1.14278e+07
169,1.14836e+07,1.47652e+07,1.19141e+07,1.16269e+07,1.50592e+07,1.22113e+07
170,1.18405e+07,1.49147e+07,1.18098e+07,1.13633e+07,1.56339e+07,1.19662e+07
171,1.1819e+07,1.53221e+07,1.23808e+07,1.15675e+07,1.56772e+07,1.30972e+07
172,1.20064e+07,1.54634e+07,1.22172e+07,1.23554e+07,1.62352e+07,1.26858e+07
173,1.22757e+07,1.57826e+07,1.32442e+07,1.20274e+07,1.57766e+07,1.30138e+07
174,1.26598e+07,1.59545e+07,1.26284e+07,1.28723e+07,1.67303e+07,1.27743e+07
175,1.2712e+07,1.63003e+07,1.30564e+07,1.30046e+07,1.66277e+07,1.34955e+07
176,1.29574e+07,1.67023e+07,1.2974e+07,1.33071e+07,1.7415e+07,1.31648e+07
177,1.32619e+07,1.68169e+07,1.34946e+07,1.31697e+07,1.71915e+07,1.40477e+07
178,1.39924e+07,1.71827e+07,1.57747e+07,1.34383e+07,1.80345e+07,1.48971e+07
179,1.33824e+07,1.73988e+07,1.39686e+07,1.37595e+07,1.78785e+07,1.44738e+07
180,1.42287e+07,1.7934e+07,1.39079e+07,1.40606e+07,1.86993e+07,1.4112e+07
181,1.39207e+07,1.80769e+07,1.43544e+07,1.44783e+07,1.82549e+07,1.48829e+07
182,1.45795e+07,1.85349e+07,1.59991e+07,1.41137e+07,1.94134e+07,1.54646e+07
183,1.42338e+07,1.89805e+07,1.51776e+07,1.44467e+07,1.92056e+07,1.53975e+07
184,1.46776e+07,1.91151e+07,1.48132e+07,1.5197e+07,1.99982e+07,1.51429e+07
185,1.5067e+07,1.96357e+07,1.59216e+07,1.51276e+07,1.94487e+07,1.59788e+07
186,1.51976e+07,1.99685e+07,1.65576e+07,1.54262e+07,2.04177e+07,1.71984e+07
187,1.55525e+07,2.02484e+07,1.60496e+07,1.58784e+07,2.02878e+07,1.6217e+07
188,1.58523e+07,2.08196e+07,1.58781e+07,1.59535e+07,2.12382e+07,1.62852e+07
189,1.59849e+07,2.10735e+07,1.73772e+07,1.64518e+07,2.05601e+07,1.74243e+07
190,1.66281e+07,2.15393e+07,1.66621e+07,1.63364e+07,2.19671e+07,1.67584e+07
191,1.68636e+07,2.21079e+07,1.71355e+07,1.6833e+07,2.17067e+07,1.75488e+07
192,1.73339e+07,2.25983e+07,1.80033e+07,1.75325e+07,2.29243e+07,1.89916e+07
193,1.72233e+07,2.29783e+07,1.78821e+07,1.77372e+07,2.28102e+07,1.85621e+07
194,1.78576e+07,2.32358e+07,1.78777e+07,1.80203e+07,2.37392e+07,1.79232e+07
195,1.91279e+07,2.35845e+07,2.1022e+07,1.86227e+07,2.30292e+07,2.04416e+07
196,1.8003e+07,2.39628e+07,1.81597e+07,1.79869e+07,2.44144e+07,1.83897e+07
197,1.83033e+07,2.4052e+07,1.90741e+07,1.8464e+07,2.32789e+07,1.96937e+07
198,1.80375e+07,2.44684e+07,1.87878e+07,1.86011e+07,2.44303e+07,1.86792e+07
199,1.83967e+07,2.49164e+07,1.95124e+07,1.92577e+07,2.42892e+07,1.99025e+07
200,1.88393e+07,2.52026e+07,1.96476e+07,1.9214e+07,2.57095e+07,1.922e+07
201,1.87152e+07,2.58706e+07,2.00866e+07,1.93245e+07,2.55975e+07,2.05708e+07
202,1.98463e+07,2.6142e+07,1.99397e+07,2.0228e+07,2.65899e+07,2.03562e+07
203,1.98186e+07,2.66225e+07,2.07738e+07,1.9421e+07,2.60195e+07,2.18288e+07
204,2.02219e+07,2.69432e+07,2.06113e+07,2.03559e+07,2.76292e+07,2.05713e+07
205,2.07043e+07,2.73035e+07,2.33408e+07,2.27948e+07,2.70914e+07,2.36311e+07
206,2.05659e+07,2.77689e+07,2.15414e+07,2.15394e+07,2.825e+07,2.18302e+07
207,2.09605e+07,2.79592e+07,2.18555e+07,2.10634e+07,2.74054e+07,2.21847e+07
208,2.20721e+07,2.84318e+07,2.09987e+07,2.08965e+07,2.8817e+07,2.13458e+07
209,2.201e+07,2.8785e+07,2.31453e+07,2.16512e+07,2.80956e+07,2.45161e+07
210,2.16182e+07,2.93356e+07,2.47632e+07,2.24289e+07,2.82992e+07,2.39119e+07
211,2.20715e+07,2.95942e+07,2.30725e+07,2.28111e+07,2.87876e+07,2.36334e+07
212,2.22802e+07,3.02076e+07,2.28716e+07,2.30763e+07,2.98793e+07,2.28753e+07
213,2.28405e+07,3.05396e+07,2.41205e+07,2.319e+07,3.03237e+07,2.48396e+07
214,2.38861e+07,3.23039e+07,2.50634e+07,2.37138e+07,3.22886e+07,2.6381e+07
215,2.41774e+07,3.17701e+07,2.50617e+07,2.44058e+07,3.18194e+07,2.60688e+07
216,2.38662e+07,3.1973e+07,2.48872e+07,2.44951e+07,3.26804e+07,2.51462e+07
217,2.46107e+07,3.23729e+07,2.52747e+07,2.4761e+07,3.13075e+07,2.59525e+07
218,2.40337e+07,3.28855e+07,2.55284e+07,2.43622e+07,3.29334e+07,2.53702e+07
219,2.4695e+07,3.37203e+07,2.59884e+07,2.56812e+07,3.34288e+07,2.65594e+07
220,2.66521e+07,3.47703e+07,2.57081e+07,2.64559e+07,3.52005e+07,2.66302e+07
221,2.71603e+07,3.51785e+07,2.75938e+07,2.64343e+07,3.45198e+07,2.78135e+07
222,2.62894e+07,3.50797e+07,2.72397e+07,2.61514e+07,3.54333e+07,2.71529e+07
223,2.63655e+07,3.5629e+07,2.74544e+07,2.70962e+07,3.39108e+07,2.79346e+07
224,2.67085e+07,3.60166e+07,2.67378e+07,2.75932e+07,3.64856e+07,2.82497e+07
225,2.78294e+07,3.68809e+07,2.93161e+07,2.821e+07,3.46469e+07,2.94144e+07
226,2.8236e+07,3.66892e+07,2.80814e+07,2.85631e+07,3.70016e+07,2.87891e+07
227,2.82949e+07,3.75142e+07,3.03388e+07,2.80387e+07,3.61947e+07,3.01782e+07
228,2.79406e+07,3.76699e+07,2.79563e+07,2.82023e+07,3.82536e+07,2.94791e+07
229,2.91326e+07,3.83954e+07,3.0098e+07,2.89336e+07,3.7399e+07,3.026e+07
230,3.01663e+07,3.92494e+07,3.05664e+07,2.94885e+07,3.95962e+07,3.04836e+07
231,3.06901e+07,3.98773e+07,3.12987e+07,2.98143e+07,4.06048e+07,3.2283e+07
232,3.05595e+07,4.02232e+07,3.00887e+07,3.00885e+07,4.03507e+07,2.99922e+07
233,3.09623e+07,4.048e+07,3.19262e+07,3.06305e+07,4.09893e+07,3.2288e+07
234,3.17047e+07,4.12286e+07,3.55363e+07,3.14321e+07,4.16898e+07,3.3186e+07
235,3.12321e+07,4.20343e+07,3.28978e+07,3.12786e+07,4.22523e+07,3.39338e+07
236,3.21518e+07,4.26298e+07,3.19492e+07,3.16271e+07,4.30949e+07,3.25127e+07
237,3.15289e+07,4.2373e+07,3.34408e+07,3.29779e+07,4.19748e+07,3.3714e+07
238,3.32369e+07,4.34861e+07,3.28548e+07,3.26073e+07,4.30527e+07,3.30598e+07
239,3.30135e+07,4.41876e+07,3.43315e+07,3.2597e+07,4.38321e+07,3.50606e+07
240,3.35748e+07,4.43099e+07,3.25307e+07,3.37462e+07,4.46204e+07,3.32252e+07
241,3.55636e+07,4.48464e+07,4.01283e+07,3.51526e+07,4.34372e+07,3.88486e+07
242,3.36725e+07,4.4779e+07,3.4416e+07,3.43228e+07,4.48232e+07,3.43438e+07
243,3.49765e+07,4.5714e+07,3.64192e+07,3.43787e+07,4.57699e+07,3.91548e+07
244,3.50256e+07,4.67725e+07,3.54478e+07,3.57575e+07,4.71254e+07,3.56919e+07
245,3.46906e+07,4.69649e+07,3.69345e+07,3.60175e+07,4.57803e+07,3.78752e+07
246,3.59537e+07,4.73028e+07,3.69179e+07,3.62015e+07,4.7595e+07,3.72449e+07
247,3.57896e+07,4.78642e+07,3.83473e+07,3.49017e+07,4.80376e+07,3.8266e+07
248,3.58166e+07,4.86805e+07,3.77271e+07,3.70592e+07,4.90726e+07,3.74233e+07
249,3.6961e+07,4.98552e+07,3.85516e+07,3.79637e+07,4.91205e+07,3.92986e+07
250,3.7699e+07,4.97536e+07,3.76126e+07,3.8346e+07,5.05383e+07,3.91085e+07
251,3.78022e+07,5.09002e+07,3.97691e+07,3.88758e+07,5.08929e+07,4.04847e+07
252,3.81922e+07,5.20061e+07,4.17901e+07,3.99813e+07,5.27269e+07,3.94127e+07
253,3.9143e+07,5.20451e+07,4.14809e+07,3.85598e+07,5.20301e+07,4.14583e+07
254,3.78896e+07,5.25297e+07,4.24194e+07,3.99478e+07,5.25632e+07,4.16365e+07
255,3.98888e+07,5.31068e+07,4.09682e+07,4.05562e+07,5.30427e+07,4.14775e+07
256,4.10018e+07,5.40668e+07,4.8045e+07,4.40195e+07,5.43893e+07,4.96531e+07
257,4.0902e+07,5.43866e+07,4.21391e+07,4.07502e+07,5.47492e+07,4.38775e+07
258,4.07279e+07,5.45748e+07,4.17715e+07,4.07168e+07,5.50775e+07,4.14698e+07
259,4.0658e+07,5.52738e+07,4.36371e+07,4.15012e+07,5.53685e+07,4.43516e+07
260,4.17186e+07,5.55526e+07,4.48142e+07,4.24613e+07,5.54655e+07,4.19141e+07
261,4.24294e+07,5.60686e+07,4.57511e+07,4.21045e+07,5.61198e+07,4.60472e+07
262,4.25874e+07,5.70699e+07,4.60626e+07,4.24468e+07,5.72327e+07,4.52176e+07
263,4.31448e+07,5.80362e+07,4.67806e+07,4.30207e+07,5.80996e+07,4.83243e+07
264,4.50106e+07,5.93314e+07,4.65152e+07,4.36184e+07,5.96437e+07,4.43683e+07
265,4.48785e+07,5.92795e+07,4.83107e+07,4.39548e+07,5.94687e+07,4.8454e+07
266,4.61465e+07,6.1174e+07,4.93296e+07,4.53305e+07,6.16601e+07,4.91424e+07
267,4.61548e+07,6.10514e+07,4.91644e+07,4.67332e+07,6.10802e+07,5.07761e+07
268,4.55935e+07,6.1665e+07,4.81672e+07,4.60902e+07,6.19449e+07,4.75565e+07
269,4.71598e+07,6.21645e+07,5.05613e+07,4.6301e+07,6.15534e+07,5.03067e+07
270,4.7439e+07,6.2172e+07,4.81945e+07,4.72097e+07,6.31369e+07,4.92781e+07
271,4.78723e+07,6.34711e+07,4.96629e+07,4.66568e+07,6.26197e+07,5.03706e+07
272,4.73888e+07,6.45132e+07,4.67165e+07,4.92168e+07,6.4181e+07,4.96291e+07
273,5.24113e+07,6.44764e+07,5.81188e+07,5.40311e+07,6.40804e+07,5.45426e+07
274,4.81256e+07,6.54131e+07,5.07667e+07,4.82542e+07,6.56329e+07,5.19988e+07
275,4.95266e+07,6.63076e+07,5.15077e+07,5.0613e+07,6.49432e+07,5.38747e+07
276,5.09376e+07,6.72433e+07,5.0896e+07,5.00014e+07,6.75291e+07,5.1661e+07
277,5.13257e+07,6.83195e+07,5.4012e+07,5.18924e+07,6.79835e+07,5.55199e+07
278,5.19887e+07,6.9045e+07,5.3478e+07,5.27106e+07,6.90491e+07,5.39383e+07
279,5.15825e+07,6.97684e+07,5.60318e+07,5.1082e+07,6.89055e+07,5.55645e+07
280,5.29578e+07,7.03382e+07,5.51758e+07,5.36359e+07,7.10476e+07,5.26637e+07
281,5.25008e+07,7.11953e+07,5.5864e+07,5.40034e+07,7.09108e+07,5.74484e+07
282,5.46112e+07,7.16437e+07,5.51609e+07,5.24877e+07,7.18275e+07,5.51757e+07
283,5.51534e+07,7.18233e+07,5.75922e+07,5.37103e+07,7.07997e+07,5.90081e+07
284,5.52079e+07,7.31277e+07,5.65666e+07,5.4892e+07,7.43106e+07,5.49882e+07
285,5.69632e+07,7.38014e+07,5.87624e+07,5.58163e+07,7.38639e+07,6.02976e+07
286,5.41455e+07,7.38423e+07,5.85087e+07,5.66921e+07,7.56473e+07,5.69346e+07
287,5.74831e+07,7.55405e+07,6.00965e+07,5.69168e+07,7.49681e+07,6.11515e+07
288,5.77685e+07,7.63837e+07,6.08219e+07,5.68126e+07,7.73462e+07,6.38662e+07
289,5.74661e+07,7.7923e+07,6.09444e+07,5.73443e+07,7.75303e+07,6.37274e+07
290,5.96497e+07,7.93014e+07,6.18033e+07,6.02873e+07,7.99107e+07,6.2341e+07
291,5.99798e+07,7.99484e+07,6.2877e+07,6.02025e+07,8.06132e+07,6.46048e+07
292,5.86898e+07,7.97236e+07,6.14823e+07,6.04633e+07,8.02749e+07,5.99108e+07
293,6.0662e+07,8.04229e+07,6.57634e+07,6.08236e+07,8.24414e+07,6.65937e+07
294,6.08408e+07,8.15646e+07,6.28485e+07,6.06222e+07,8.20922e+07,6.31564e+07
