size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
166,2.07304e+07,287917,1.40268e+06,2.56249e+06,631055,1.45782e+06
167,1.91944e+07,325014,1.40958e+06,8.31043e+06,741638,7.2564e+06
168,9.43461e+06,532833,1.2665e+07,8.54576e+06,983389,3.54332e+06
169,4.91624e+06,537250,7.50797e+06,1.14138e+07,1.07042e+06,4.79589e+06
170,3.05072e+06,347028,1.66889e+06,2.57898e+07,673208,1.45923e+07
171,8.70668e+06,357291,1.52571e+06,2.80197e+06,6.00314e+06,6.17744e+06
172,1.55794e+07,304958,1.53797e+06,2.86314e+06,680472,2.45112e+07
173,3.25611e+06,420334,1.21593e+07,4.16607e+07,1.42025e+06,1.614e+06
174,1.22793e+07,361875,1.61224e+06,1.8273e+07,1.34197e+06,2.342e+07
175,3.74771e+06,1.16298e+07,3.29252e+07,1.01113e+07,867528,1.64149e+06
176,3.13054e+06,284139,1.70176e+06,3.3673e+07,719917,9.30353e+06
177,1.48992e+07,392084,1.67944e+06,1.08774e+07,4.05553e+06,1.52757e+07
178,1.59178e+07,366583,2.16314e+06,5.88626e+06,2.12628e+06,1.7207e+07
179,6.52797e+06,3.65925e+06,1.03143e+07,6.10932e+06,1.46726e+07,1.72992e+07
180,8.18124e+06,6.86399e+06,2.89381e+06,3.49784e+07,777320,2.94856e+06
181,1.295e+07,435514,5.30892e+06,2.20822e+07,5.97996e+06,1.12016e+07
182,6.56904e+06,415666,1.80938e+06,1.57871e+07,1.81441e+07,2.84219e+06
183,1.01157e+07,452569,9.42599e+06,1.89778e+07,6.64444e+06,1.8759e+06
184,3.30582e+07,378236,5.98269e+06,9.48485e+06,6.53407e+06,2.16072e+06
185,3.22502e+07,774834,2.76299e+06,1.46281e+07,999597,1.93412e+06
186,1.31483e+07,477583,7.80625e+06,3.06531e+07,848277,2.37829e+06
187,9.54511e+06,519139,1.95731e+06,1.69774e+07,1.13898e+07,2.7164e+06
188,2.1181e+07,406153,8.34836e+06,2.42918e+07,875930,2.19117e+06
189,2.33831e+07,832389,2.80011e+06,2.83455e+07,1.07035e+06,2.02099e+06
190,1.75728e+07,501194,2.05607e+06,1.85515e+07,923472,1.74561e+07
191,2.9272e+07,819861,2.01038e+07,7.31788e+06,1.60033e+06,4.49219e+06
192,2.11479e+07,477833,3.0344e+06,1.59498e+07,921125,1.69701e+07
193,5.93293e+06,669305,3.07547e+07,2.09395e+07,1.15575e+06,2.1911e+06
194,9.70592e+06,1.99872e+06,8.46419e+06,2.93021e+07,9.19147e+06,2.26462e+06
195,1.16205e+07,644875,2.13875e+07,9.15769e+06,1.14425e+06,1.37437e+07
196,2.57954e+07,506458,2.25712e+06,1.67479e+07,9.06721e+06,5.8621e+06
197,2.07041e+07,702556,2.68175e+06,3.17215e+07,2.96319e+06,2.63908e+06
198,1.12202e+07,927611,1.25036e+07,2.41777e+07,1.02536e+06,7.87575e+06
199,5.07339e+06,694555,2.56972e+07,1.14163e+07,1.78951e+06,1.95105e+07
200,1.0042e+07,554014,2.45112e+06,1.66109e+07,6.05471e+06,1.89803e+07
