size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
116,2.3764e+08,2.95275e+08,3.921e+06,8.62268e+06,3.07984e+08,1.21394e+08
117,1.53243e+08,2.10884e+08,1.66138e+08,2.52212e+08,1.10032e+08,7.87554e+07
118,1.52461e+08,1.80712e+08,1.68056e+08,2.94916e+08,2.15475e+08,8.95033e+06
119,1.49279e+08,2.35605e+08,2.02816e+08,1.85391e+08,2.29233e+08,5.76876e+07
120,1.79787e+08,3.622e+08,1.00357e+07,2.50365e+08,1.55151e+08,1.63577e+08
121,1.54971e+08,3.19024e+08,7.39736e+07,1.74841e+08,2.15947e+08,2.90202e+08
122,1.55713e+08,4.78576e+08,1.90733e+07,3.18568e+08,5.94957e+06,2.88066e+08
123,1.00135e+08,2.96859e+08,4.50155e+08,5.92005e+07,2.66017e+08,1.81042e+08
124,1.64914e+08,3.12597e+07,3.97101e+08,2.34953e+08,2.1265e+08,2.11018e+08
125,1.88021e+08,3.45772e+08,9.64199e+07,3.41643e+08,2.10376e+08,3.4693e+08
126,1.61403e+08,2.9725e+08,2.71265e+08,2.49971e+08,1.85136e+08,1.79614e+07
127,2.4584e+08,2.17998e+08,3.14118e+08,2.30967e+08,1.64303e+08,2.72695e+08
128,3.17633e+08,1.67092e+08,1.2242e+08,3.96618e+08,1.33055e+08,2.40131e+08
129,2.11064e+08,3.69315e+08,3.26806e+08,1.85825e+08,2.54264e+08,2.97454e+08
130,3.74942e+08,1.71568e+08,2.12696e+08,3.95633e+08,2.32988e+08,1.07271e+08
131,3.03894e+08,1.34105e+08,3.43325e+08,3.39924e+08,3.88135e+08,2.20129e+08
132,2.17858e+08,4.3511e+08,2.42992e+08,2.55101e+08,4.8638e+08,5.64966e+07
133,3.0375e+08,3.5271e+08,1.21652e+08,1.14136e+08,4.93251e+08,1.45758e+07
134,2.48384e+08,4.65625e+08,2.40654e+08,3.34492e+08,2.45949e+08,1.34646e+08
135,2.37345e+08,4.23152e+08,1.94846e+08,3.26656e+08,9.11715e+07,3.14393e+08
136,3.61521e+08,1.88001e+08,2.4612e+08,2.37312e+08,3.88366e+08,2.11434e+08
137,1.89436e+08,3.59305e+08,6.58696e+06,5.32463e+08,2.30648e+08,1.84219e+08
138,6.08398e+08,1.35587e+08,2.27368e+08,3.11508e+08,4.67942e+08,1.0343e+08
139,2.63526e+08,4.11043e+08,2.93493e+08,4.79732e+08,1.84797e+08,2.1702e+08
140,2.51968e+08,8.98569e+07,4.18073e+08,3.91024e+08,2.16342e+08,4.15494e+08
141,3.65888e+08,3.7239e+08,2.1386e+08,3.9922e+08,3.55891e+08,2.58289e+08
142,2.74848e+08,3.76e+08,1.88183e+08,5.3222e+08,4.72436e+08,1.07554e+08
143,3.09493e+08,3.23047e+08,3.36247e+08,1.96986e+08,3.32212e+08,4.01812e+08
144,4.30922e+08,1.23338e+08,3.92822e+08,3.34925e+08,4.5969e+08,1.78671e+08
145,4.42495e+08,3.61884e+08,2.28967e+08,4.04407e+08,3.3985e+08,2.89163e+08
146,5.0717e+08,3.9841e+08,2.29983e+08,5.37196e+08,3.79848e+08,3.22476e+08
147,4.11392e+08,8.13681e+07,3.89454e+08,3.21876e+08,4.48145e+08,2.25843e+08
148,5.59812e+08,4.7321e+08,1.4599e+08,5.66377e+08,3.15037e+08,1.90413e+08
149,3.12149e+08,5.70806e+08,1.6899e+08,4.17291e+08,3.43642e+08,2.56449e+08
150,5.33914e+08,4.98346e+08,2.47815e+08,3.7535e+08,4.15902e+08,2.27129e+08
151,6.34405e+08,3.48619e+08,3.00168e+08,2.87243e+08,3.10636e+08,3.53144e+08
152,3.29788e+08,3.70693e+08,2.02342e+08,5.74934e+08,4.45708e+08,3.60229e+08
153,4.71193e+08,3.58535e+08,3.14604e+08,3.48678e+08,4.94277e+08,2.90444e+08
154,3.6304e+08,3.14509e+08,3.50746e+08,6.01388e+08,4.09613e+08,2.53625e+08
155,4.08301e+08,3.78104e+08,4.11262e+08,5.01541e+08,3.59273e+08,2.90494e+08
156,6.38585e+08,4.27678e+08,4.1563e+08,3.62187e+08,5.53971e+08,1.91043e+08
157,4.44484e+08,5.00645e+08,5.47478e+08,3.69175e+08,4.54113e+08,2.74454e+08
158,5.76996e+08,4.50516e+08,3.05793e+08,6.11927e+08,3.73643e+08,4.65097e+08
159,4.3951e+08,4.7644e+08,2.06158e+08,5.54718e+08,4.40286e+08,4.17582e+08
160,3.45511e+08,5.14812e+08,4.12398e+08,7.18269e+08,3.75274e+08,3.91539e+08
161,6.52366e+08,4.34829e+08,4.54319e+08,2.8208e+08,5.03331e+08,3.40683e+08
162,4.48459e+08,5.36573e+08,3.87295e+08,4.50765e+08,5.01521e+08,3.19216e+08
